Filename,Date Digitized ,QA complete,OCR complete,Bib ID,Call number,Prefix,Classification,Brief Title,Full Title,Repository
ksrl_sc_griffith_h52_0001,2015-04-17,2015-04-20,2015-05-01,7833658,Griffith H52,Griffith,H52,"Proclama del Club ""Nueve de Febrero"" de Santo Dom{acute}ingo Suchitep{acute}equez /","Proclama del Club ""Nueve de Febrero"" de Santo Dom{acute}ingo Suchitep{acute}equez /$c[signed] Federico Santis... [et al.]",Special Collections
ksrl_sc_griffith_h53_0001,2015-04-17,2015-04-20,2015-05-01,7833659,Griffith H53,Griffith,H53,"El Club Liberal fundado en este pueblo de Jumaytepeque, denominado ""El Leal,""... /","El Club Liberal fundado en este pueblo de Jumaytepeque, denominado ""El Leal,""... /$c[signed] Irineo Realejo... [et al.]",Special Collections
ksrl_sc_griffith_h56_0001,2015-04-17,2015-04-20,2015-05-01,7833662,Griffith H56,Griffith,H56,Direcci{acute}on General de Contabilidad Central de Hacienda. Movimiento de las cajas nacionales en el mes de julio de 1875 /,Direcci{acute}on General de Contabilidad Central de Hacienda. Movimiento de las cajas nacionales en el mes de julio de 1875 /$cD. Meany Saldos.,Special Collections
ksrl_sc_griffith_h58_0001,2015-04-17,2015-04-20,2015-05-01,7833664,Griffith H58,Griffith,H58,Excitativa /,Excitativa /$c[signed] R. Sol{acute}orzano... [et al.],Special Collections
ksrl_sc_griffith_h59_0001,2015-04-17,2015-04-20,2015-05-01,7833665,Griffith H59,Griffith,H59,"Proclama del ""Club Liberal Unionista,"" de Casillas, compuesto de se{tilde}noritas /","Proclama del ""Club Liberal Unionista,"" de Casillas, compuesto de se{tilde}noritas /$c[signed] Trinidad Samayoa... [et al.].",Special Collections
ksrl_sc_griffith_h62_0001,2015-04-17,2015-04-20,2015-05-01,7833668,Griffith H62,Griffith,H62,"El Club Liberal ""Fraternidad"", a nuestros correligionarios... /","El Club Liberal ""Fraternidad"", a nuestros correligionarios... /$c[signed] Sebastian de L. R{acute}ejil... [et al].",Special Collections
ksrl_sc_griffith_h63_0001,2015-04-17,2015-04-20,2015-05-01,7833669,Griffith H63,Griffith,H63,"Teodoro Cifuentes, j{acute}efe pol{acute}itico y comandante de armas de este departamento, considerando... /","Teodoro Cifuentes, j{acute}efe pol{acute}itico y comandante de armas de este departamento, considerando... /$c[signed] Teodoro Cifuentes, Luis Alfredo Arango.",Special Collections
ksrl_sc_griffith_h64_0001,2015-04-17,2015-04-20,2015-05-01,7833670,Griffith H64,Griffith,H64,"Candidato popular, Sr. Lic. D. Manuel Estrada Cabrera. Distritos electorales del departamento de Totonicap{acute}an... /","Candidato popular, Sr. Lic. D. Manuel Estrada Cabrera. Distritos electorales del departamento de Totonicap{acute}an... /$c[signed] El ""Club Liberal Totonicapense"".",Special Collections
ksrl_sc_griffith_h65_0001,2015-04-14,2015-04-20,2015-05-01,7833671,Griffith H65,Griffith,H65,"Se{tilde}nor presidente constitucional de la rep{acute}ublica y benem{acute}erito de la patria, licenciado don Manuel Estrada Cabrera /","Se{tilde}nor presidente constitucional de la rep{acute}ublica y benem{acute}erito de la patria, licenciado don Manuel Estrada Cabrera /$c[signed] Piedad G. de Moreira... [et al.]",Special Collections
ksrl_sc_griffith_h67_0001,2015-04-14,2015-04-20,2015-05-01,7833673,Griffith H67,Griffith,H67,"Se{tilde}nor presidente constitucional jeneral, don Manuel L. Barillas /","Se{tilde}nor presidente constitucional jeneral, don Manuel L. Barillas /$c[signed] Domingo Carrillo... [et al.].",Special Collections
